ID;Công ty/Cơ quan/Đơn vị tuyển dụng;Tỉnh/Thành phố;Phạm vi (Nhà nước/DN trong nước/DN nước ngoài);Ngày đăng;Tháng đăng;Năm đăng;Số lượng tuyển dụng;Số lượng nữ (nếu có);Lĩnh vực tuyển dụng cấp 1 (CNTT/Du lịch/Điện, …);Tên công việc;Vị trí công việc (nếu có);Mức lương (nếu có);Trình độ;Yêu cầu kinh nghiệm/trình độ (năm);Link bài đăng để minh chứng
1013;Công Ty Cổ Phần Thành Thành Công - Biên Hòa;Tây Ninh;DN trong nước;27;11;2024;2;0;Thông tin - Truyền thông - Quảng cáo;Chuyên Viên Quản Lý Thương Hiệu / Brand Manager;Chuyên viên- nhân viên;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-quan-ly-thuong-hieu-brand-manager.html
1014;Công Ty Cổ Phần Thành Thành Công - Biên Hòa;Tây Ninh;DN trong nước;3;12;2024;2;2;Điện - Điện tử - Điện lạnh;Kỹ Sư Điện - Tự Động, Điện Công Nghiệp (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-dien-tu-dong-dien-cong-nghiep-di-lam-ngay.html
1015;Trường Trung Học Phổ Thông Việt Nhật;TP.HCM;DN trong nước;24;12;2024;1;1;Giáo dục - Đào tạo;Nhân Viên Giám Thị;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-giam-thi.html
1016;Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam;N/A;DN trong nước;16;12;2024;20;0;Bán hàng - Kinh doanh;Trình Dược Viên OTC / Nhân Viên Kinh Doanh Tại Miền Bắc;Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/trinh-duoc-vien-otc-nhan-vien-kinh-doanh-tai-mien-bac.html
1017;Công Ty TNHH Newlong Industrial Viet Nam;TP.HCM;DN trong nước;23;12;2024;2;0;Điện - Điện tử - Điện lạnh;Nhân Viên Kỹ Thuật Điện (Không Cần Kinh Nghiệm) - Đã Hoàn Thành Nghĩa Vụ Quân Sự;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-dien-khong-can-kinh-nghiem-da-hoan-thanh-nghia-vu-quan-su.html
1018;Công ty Cổ Phần Quốc Tế Ánh Dương Xanh;Hà Nội;DN trong nước;23;12;2024;1;0;Dược phẩm;Kế Toán Tổng Hợp - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop-di-lam-ngay.html
1019;Công Ty TNHH Tập Đoàn Ntp;Bình Dương;DN trong nước;19;12;2024;5;0;Lao động phổ thông;Tổ Trưởng Hàn ( Thu Nhập Trên 12 Triệu _ Nhận Việc Ngay );Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/to-truong-han-thu-nhap-tren-12-trieu-nhan-viec-ngay.html
1020;Công Ty 4 Oranges Co.,ltd;Long An;DN trong nước;23;12;2024;4;0;Lao động phổ thông;Công Nhân Lao Động Phổ Thông;Cộng tác viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/cong-nhan-lao-dong-pho-thong.html
1021;Công Ty TNHH Phát Thành Danh;TP.HCM;DN trong nước;23;12;2024;3;0;Xây dựng;Giám Sát Xây Dựng;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-xay-dung.html
1022;Công Ty TNHH Thương Mại Và Dịch Vụ Vi Tính Võ Minh;TP.HCM;DN trong nước;23;12;2024;3;0;IT Phần cứng - Mạng;Nhân Viên Marketing Lĩnh Vực IT Công Nghệ Chuyển Đổi Số, Làm Việc Tại VP Cty Quận 3.;Chuyên viên- nhân viên;N/A;Đại học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-marketing-linh-vuc-it-cong-nghe-chuyen-doi-so-lam-viec-tai-vp-cty-quan-3.html
1023;Công Ty Tnhh Vải Sợi Tín Nghĩa Thành;TP.HCM;DN trong nước;18;12;2024;2;0;Lao động phổ thông;Nhân Viên Kiểm Hàng;Chuyên viên- nhân viên;N/A;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kiem-hang.html
1024;Công Ty TNHH Kỹ Thuật Thương Mại PQS;TP.HCM;DN trong nước;17;12;2024;8;8;Sản xuất - Lắp ráp - Chế biến;Nhân Viên Thiết Kế Tủ Bảng Điện;Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thiet-ke-tu-bang-dien.html
1025;Công Ty TNHH Đầu Tư Giáo Dục Long Xuyên - Trung Tâm Ngoại Ngữ Quốc Tế Âu Việt Úc;An Giang;DN trong nước;21;12;2024;4;0;Giáo dục - Đào tạo;Giáo Viên Mầm Non (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giao-vien-mam-non-di-lam-ngay.html
1026;Tân Thế Giới - Beauty Salon;TP.HCM;DN trong nước;22;12;2024;2;0;Nghề nghiệp khác;Thợ Phụ Làm Tóc Salon;Chuyên viên- nhân viên;N/A;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tho-phu-lam-toc-salon.html
1027;Công Ty TNHH Crystal Martin (Việt Nam);Bắc Giang;DN trong nước;13;12;2024;1;0;Dệt may - Da giày - Thời trang;Chuyên Viên Điều Phối Mẫu;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-dieu-phoi-mau.html
1028;Công Ty CP Dịch Vụ Kim My;Nước ngoài;DN trong nước;21;12;2024;10;0;IT Phần mềm;Giáo Viên Tiêng Tbn;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giao-vien-tieng-tbn.html
1029;Công Ty Tnhh Mtv Kim Ngưu Piano;TP.HCM;DN trong nước;20;12;2024;1;1;Hành chính - Thư ký;Trợ Lý Tiếng Hàn - Thu Nhập 20 Triệu - Bằng B2;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tro-ly-tieng-han-thu-nhap-20-trieu-bang-b2.html
1030;Công Ty TNHH My Vina;Hà Nam;DN trong nước;20;12;2024;4;0;Sản xuất - Lắp ráp - Chế biến;Nhân Viên Lập Trình Máy CNC;Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-lap-trinh-may-cnc.html
1031;Công Ty TNHH Vietnam Concentrix Services;TP.HCM;DN trong nước;23;11;2024;50;0;Chăm sóc khách hàng;Nhân Viên Chăm Sóc Khách Hàng - Ứng Dụng Vé Máy Bay;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-ung-dung-ve-may-bay.html
1032;Công Ty TNHH K'sun Việt Nam;Hà Nội;DN trong nước;20;12;2024;5;5;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh - Tổng Thu Nhập 20 Triệu Trở Lên;Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-tong-thu-nhap-20-trieu-tro-len.html
1033;Công Ty TNHH Kỹ Thuật Tự Động Sky;TP.HCM;DN trong nước;19;12;2024;2;0;Thông tin - Truyền thông - Quảng cáo;Thực Tập Sinh Quay Dựng / Media Intern (HCM);Cộng tác viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/thuc-tap-sinh-quay-dung-media-intern-hcm.html
1034;Công Ty Cổ Phần Dược Danapha;Đà Nẵng;DN trong nước;18;12;2024;2;0;Cơ khí - Ô tô - Tự động hóa;Chuyên Viên Kỹ Thuật Bảo Trì;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-ky-thuat-bao-tri.html
1035;Công Ty TNHH Thương Mại Dịch Vụ Vân Hậu;Bình Dương;DN trong nước;12;12;2024;2;0;Lao động phổ thông;Nhân Viên Tạp Vụ, Không Yêu Cầu Kinh Nghiệm - Dĩ An, Bình Dương;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tap-vu-khong-yeu-cau-kinh-nghiem-di-an-binh-duong.html
1036;Công Ty Tnhh Công Nghiệp Chính Xác The Jinsufu Vn;Bắc Ninh;DN trong nước;18;12;2024;10;0;Lao động phổ thông;Công Nhân Cơ Khí (Lao Động Phổ Thông) - Nhận Việc Ngay Hoặc Sau Tết;Chuyên viên- nhân viên;N/A;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/cong-nhan-co-khi-lao-dong-pho-thong-nhan-viec-ngay-hoac-sau-tet.html
1037;Công Ty CP Xây Dựng Và Nội Thất Phú Minh;Hà Nội;DN trong nước;16;12;2024;2;0;Xây dựng;Nhân Viên Dự Toán, Thanh Quyết Toán - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-du-toan-thanh-quyet-toan-di-lam-ngay.html
1038;Công Ty Cổ Phần Phụ Tùng Việt Nhật;TP.HCM;DN trong nước;18;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh.html
1039;Công Ty TNHH Chinh Tuấn Tú;TP.HCM;DN trong nước;18;12;2024;20;20;Vận Tải - Lái xe - Giao nhận;Tài Xế Xe Khách _ Đi Làm Ngay;Chuyên viên- nhân viên;N/A;Trung cấp;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tai-xe-xe-khach-di-lam-ngay.html
1040;Công Ty 4 Oranges Co.,ltd;Quảng Nam;DN trong nước;11;12;2024;3;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Giám Sát Khu Vực Quảng Nam - Nhãn Sơn Spec;Quản lý nhóm- giám sát;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-khu-vuc-quang-nam-nhan-son-spec.html
1041;Công Ty Cổ Phần Đầu Tư Thương Mại Và Dịch Vụ Ella;Hà Nội;DN trong nước;17;12;2024;3;0;Xuất bản - In ấn;Nhân Viên Vận Hành Máy In (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-hanh-may-in-di-lam-ngay.html
1042;Công Ty Cổ Phần Kinh Doanh F88;Đồng Tháp;DN trong nước;17;12;2024;10;0;Bán hàng - Kinh doanh;Đồng Tháp: Tuyển Dụng Tư Vấn Tài Chinh;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/dong-thap-tuyen-dung-tu-van-tai-chinh.html
1043;Công Ty Cổ Phần Dinh Dưỡng Quốc Tế CNC;Hải Dương;DN trong nước;17;12;2024;2;0;Marketing;Nhân Viên Marketing;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-marketing.html
1044;Công Ty Cổ Phần Vinterpros;TP.HCM;DN trong nước;17;12;2024;1;1;Khoa học - Kỹ thuật;Trưởng Phòng Kỹ Thuật Lương Từ 30 Đến 45 Triệu / Tháng Tại Củ Chi;Quản lý cấp trung;N/A;N/A;7;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-ky-thuat-luong-tu-30-den-45-trieu-thang-tai-cu-chi.html
1045;Công Ty TNHH Crystal Martin (Việt Nam);Bắc Giang;DN trong nước;12;12;2024;1;0;Dệt may - Da giày - Thời trang;Nhân Viên Tính Định Mức Nguyên Phụ Liệu (Marker Consumption Planner);Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tinh-dinh-muc-nguyen-phu-lieu-marker-consumption-planner.html
1046;Công Ty TNHH Crystal Martin (Việt Nam);Bắc Giang;DN trong nước;13;12;2024;1;0;Hành chính - Thư ký;Thư Ký Bộ Phận;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/thu-ky-bo-phan.html
1047;Công Ty CP Môi Trường Xanh VN;TP.HCM;DN trong nước;13;12;2024;5;0;Hành chính - Thư ký;Nhân Viên Trợ Lý Kinh Doanh;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tro-ly-kinh-doanh.html
1048;Gốm Sứ Minh Long - Công Ty TNHH Minh Long I;Bình Dương;DN trong nước;12;12;2024;1;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Chuyên Viên Kinh Doanh Kênh Giải Pháp KHDN (B2B);Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kinh-doanh-kenh-giai-phap-khdn-b2b.html
1049;Công Ty TNHH Xây Dựng Cơ Điện Bách Việt;N/A;DN trong nước;12;12;2024;3;0;Xây dựng;Kỹ Sư QS;Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-qs.html
1050;Gốm Sứ Minh Long - Công Ty TNHH Minh Long I;Bình Dương;DN trong nước;12;12;2024;1;0;An ninh - Bảo vệ;Nhân Viên Bảo Vệ;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-bao-ve.html
1051;Ngân Hàng TMCP Đông Nam Á (Seabank);Nghệ An;DN trong nước;28;11;2024;10;0;Bán hàng - Kinh doanh;Chuyên Viên Khách Hàng Cá Nhân - Nghệ An;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-khach-hang-ca-nhan-nghe-an.html
1052;Công Ty Cổ Phần Đầu Tư Tân Thuận Lợi;TP.HCM;DN trong nước;8;11;2024;5;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Nhân Viên Tư Vấn Mỹ Phẩm Toàn Thời Gian;Chuyên viên- nhân viên;N/A;Trung học;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-my-pham-toan-thoi-gian.html
1053;Vạn An Spa - Trung Tâm Điều Trị Cơ Xương Khớp;TP.HCM;DN trong nước;11;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Online;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-online.html
1054;Công Ty Cổ Phần Thành Thành Công - Biên Hòa;Tây Ninh;DN trong nước;11;12;2024;3;3;Vận hành - Bảo trì - Bảo dưỡng;Tổ Trưởng Bảo Trì Cơ Khí - Đi Làm Ngay;Quản lý nhóm- giám sát;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/to-truong-bao-tri-co-khi-di-lam-ngay.html
1055;Công Ty TNHH Đông Đô Land Việt Nam;Hà Nội;DN trong nước;4;12;2024;1;0;Marketing;Nhân Viên Video Editor / Quay Dựng Video - Được Cung Cấp Đầy Đủ Thiết Bị Làm Việc;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-video-editor-quay-dung-video-duoc-cung-cap-day-du-thiet-bi-lam-viec.html
1056;Công Ty Trách Nhiệm Hữu Hạn Hung Way;TP.HCM;DN trong nước;27;11;2024;3;0;Hành chính - Thư ký;Nhân Viên Phiên Dịch Tiếng Hoa (12-15 Triệu);Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-phien-dich-tieng-hoa-12-15-trieu.html
1057;Công Ty Cổ Phần Đô Thị Thông Minh Việt Nam;Đà Nẵng;DN trong nước;10;12;2024;2;0;Bán hàng - Kinh doanh;Chuyên Viên Khai Thác Đầu Tư Bất Động Sản;Chuyên gia;N/A;N/A;7;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-khai-thac-dau-tu-bat-dong-san.html
1058;Gốm Sứ Minh Long - Công Ty TNHH Minh Long I;Bình Dương;DN trong nước;6;12;2024;50;0;Lao động phổ thông;Công Nhân Sản Xuất Gốm Sứ;Chuyên viên- nhân viên;N/A;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/cong-nhan-san-xuat-gom-su.html
1059;Công Ty TNHH Phòng Khám Phước Khang;TP.HCM;DN trong nước;6;12;2024;5;0;Y tế - Chăm sóc sức khỏe;Kỹ Thuật Viên Xoa Bóp, Bấm Huyệt - Y Học Cổ Truyền;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-thuat-vien-xoa-bop-bam-huyet-y-hoc-co-truyen.html
1060;Hệ Thống Cửa Hàng Hoa Quả Ưu Đàm;Hà Nội;DN trong nước;5;12;2024;4;0;Kế toán;Nhân Viên Thu Ngân;Chuyên viên- nhân viên;N/A;Lao động phổ thông;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thu-ngan.html
1061;Công Ty TNHH Thiên Nhiên Xanh Việt Nam;Hà Nội;DN trong nước;4;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp Lương 15 Triệu / Tháng - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;Lao động phổ thông;7;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop-luong-15-trieu-thang-di-lam-ngay.html
1062;CÔNG TY CỔ PHẦN TẬP ĐOÀN DAT;Hà Nội;DN trong nước;3;12;2024;2;2;Khai thác năng lượng - Khoáng sản - Địa chất;Kỹ Sư Năng Lượng - Nhận Việc Ngay;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-nang-luong-nhan-viec-ngay.html
1063;Công Ty TNHH Nhà Hàng Không Gian Xanh;TP.HCM;DN trong nước;3;12;2024;2;0;Khách sạn - Nhà hàng - Du lịch;Nhân Viên Cắm Hoa Tiệc Cưới;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cam-hoa-tiec-cuoi.html
1064;Công Ty TNHH Thương Mại Vhc - Siêu Thị Điện Máy Hc;Hà Nội;DN trong nước;2;12;2024;2;0;Thu mua - Kho Vận - Chuỗi cung ứng;Nhân Viên Kho Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kho-di-lam-ngay.html
1065;Ngân Hàng TMCP Đông Nam Á (Seabank);Hà Nội;DN trong nước;29;11;2024;10;0;Bán hàng - Kinh doanh;Chuyên Viên Khách Hàng Cá Nhân - Khu Vực Hà Nội;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-khach-hang-ca-nhan-khu-vuc-ha-noi.html
1066;Văn Phòng Đại Diện Công Ty TNHH Thương Mại - Dịch Vụ Tài Phát;Hà Nội;DN trong nước;27;11;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh (Chuyên Ngành Hóa, Công Nghệ Sinh Học) Tại HCM;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-chuyen-nganh-hoa-cong-nghe-sinh-hoc-tai-hcm.html
1067;Công Ty TNHH Giải Pháp Ce;Hà Nội;DN trong nước;28;11;2024;2;0;Marketing;Nhân Viên Vận Hành Sàn TMĐT ( Tiktok, Shopee);Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-hanh-san-tmdt-tiktok-shopee.html
1068;Ych Protrade - Công Ty TNHH Ych-Protrade;Bình Dương;DN trong nước;27;11;2024;3;0;Sản xuất - Lắp ráp - Chế biến;Nhân Viên Kho - Đóng Gói Hàng (Lao Động Phổ Thông);Chuyên viên- nhân viên;N/A;Trung học;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kho-dong-goi-hang-lao-dong-pho-thong.html
1069;CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TRẦM HƯƠNG VIỆT NAM;Hà Nội;DN trong nước;30;11;2024;2;0;Chăm sóc khách hàng;Nhân Viên Sales Online - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-sales-online-di-lam-ngay.html
1070;Công Ty Cổ Phần Đầu Tư Thương Mại Dịch Vụ Atlantic;Hà Nội;DN trong nước;7;12;2024;5;0;Xây dựng;Cán Bộ Hồ Sơ Thanh Quyết Toán (QS);Quản lý nhóm- giám sát;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/can-bo-ho-so-thanh-quyet-toan-qs.html
1071;Công Ty Cổ Phần La Hán Hoàng Phát;Hà Nội;DN trong nước;5;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;N/A;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-khong-yeu-cau-kinh-nghiem.html
1072;Công Ty TNHH MTV Thương Mại Dịch Vụ Kỹ Thuật Pccc Minh Anh;TP.HCM;DN trong nước;17;12;2024;2;0;Khoa học - Kỹ thuật;Nhân Viên Kỹ Thuật Phòng Cháy Chữa Cháy;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-phong-chay-chua-chay.html
1073;Công Ty TNHH Scm Metal Việt Nam;Bình Dương;DN trong nước;10;12;2024;2;0;Xuất Nhập Khẩu;Giám Sát Xuất Nhập Khẩu;Quản lý nhóm- giám sát;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-xuat-nhap-khau.html
1074;Công Ty TNHH Glow Place;TP.HCM;DN trong nước;2;12;2024;1;0;Hành chính - Thư ký;Thông Dịch Viên - Nhân Viên Văn Phòng Biết Tiếng Hàn;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/thong-dich-vien-nhan-vien-van-phong-biet-tieng-han.html
1075;Công Ty Cổ Phần Quốc Tế Cocoro;TP.HCM;DN trong nước;4;12;2024;20;0;Khoa học - Kỹ thuật;Kỹ Sư Thiết Kế Cơ Khí (Cơ Khí Chế Tạo) Làm Việc Tại Nhật Bản;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-thiet-ke-co-khi-co-khi-che-tao-lam-viec-tai-nhat-ban.html
1076;Công Ty TNHH Thương Mại Điện Tử Minh Nguyệt;Hà Nội;DN trong nước;4;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Bán Hàng - Tại Hà Nội (Không Yêu Cầu Kinh Nghiệm);Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-tai-ha-noi-khong-yeu-cau-kinh-nghiem.html
1077;Công Ty TNHH Máy Và Thiết Bị Công Nghiệp Fuji Việt Nam;Hà Nội;DN trong nước;29;11;2024;1;0;Kế toán;Nhân Viên Kế Toán Tổng Hợp Tại Hà Nội;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-tong-hop-tai-ha-noi.html
1078;Công Ty TNHH Tư Vấn Lao Động Nhật Nam;TP.HCM;DN trong nước;2;12;2024;2;0;Giáo dục - Đào tạo;Giáo Viên Tiếng Nhật Không Yêu Cầu Kinh Nghiệm (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giao-vien-tieng-nhat-khong-yeu-cau-kinh-nghiem-di-lam-ngay.html
1079;Công Ty TNHH Dịch Vụ Thương Mại Và Xuất Nhập Khẩu Đại Thịnh;TP.HCM;DN trong nước;11;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh (Hàng Tiêu Dùng);Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-hang-tieu-dung.html
1080;Công Ty CP Quốc Tế Ico;Hà Nội;DN trong nước;3;12;2024;2;0;Kế toán;Kế Toán Thuế - Thu Nhập Lên Đến 15 Triệu;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-thue-thu-nhap-len-den-15-trieu.html
1081;Công Ty TNHH Dịch Vụ Bảo Vệ Mạnh Dũng;TP.HCM;DN trong nước;2;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Dịch Vụ Bảo Vệ;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-dich-vu-bao-ve.html
1082;Công Ty TNHH Thương Mại Xây Dựng Avs;TP.HCM;DN trong nước;6;12;2024;1;0;Xây dựng;Kỹ Sư Thiết Kế Kết Cấu (Xây Dựng) - Lương Từ 10 Triệu;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-thiet-ke-ket-cau-xay-dung-luong-tu-10-trieu.html
1083;Công Ty TNHH Thương Mại Dịch Vụ Pdc;TP.HCM;DN trong nước;13;12;2024;20;0;Khách sạn - Nhà hàng - Du lịch;Chuyên Viên Kinh Doanh - Sale Tour Du Lịch;Chuyên viên- nhân viên;N/A;Chứng chỉ;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kinh-doanh-sale-tour-du-lich.html
